Sentences	label
在一些大城市禁放烟花爆竹，是政府的一项利国利民的英明决策，只可惜好景不长。	1
“女性朋友”，又见官员的“女性朋友”。	2
不想他正好在乡下，约好了和我相见，当我告诉他要借钱的事，他显得有些无奈。	2
还好，现在开始下雨了。	0
不过，在雇主与保姆“双选”这一过程中，一些保姆竟然先打听起雇主是从事啥职业的，看对自己家人有没有帮助。	2
校园里又响起了怀旧金曲，广播站开始了一年一度的毕业生专题，未成为毕业生前，总以为毕业不过是一件很简单的事。	0
以前丢一个都没有长心眼么。	4
他说你的生活就是如此简单。	3
遍地都是大师和没有大师实际上是一个道理的，呵呵。	0
当时我在教会学校工作，总务处主任叫我与他在道路上洒盐化冰。	5
火车又大提速了。	5
他们尽情地伸展手脚，没有束缚，天地更为广阔，招来许多外人羡慕的目光。	0
中国用民族的唢呐等乐器来演奏喜庆的乐曲，来迎接来自世界各国的朋友。	0
然而，像这样获取暴利，与“豪夺”有什么区别？	4
蹭上列车，我依旧沉默。	2
离别，自古多伤感。	2
毕业，就像一个大大的句号，从此，我们告别了一段纯真的青春，一段年少轻狂的岁月，一个充满幻想的时代……	1
深刻的直面自己的心虚的痛处，是痛苦的体验。	1
我也很自私￣真的很自私，那种自私的程度，就是倾尽所有去爱一个人，忽略了身边很多关心我的人。	2
人们说，年是为小孩子准备的，果然不错。	0
我诧异地拿着电话呆了半晌，那个她在火车上偶遇的男子，在短短的三十天之后，便堂而皇之地摇身一变，成了她今后的枕边人。	1
大家都知道，近几年官方也好，媒体也好，对于上过天的航天员都是灌以“英雄”称呼，并在很多重要场合作为“英雄”中的典型代表登台亮相。	5
中国的大地上正在进行“开学第一课”的教育，可惜，你们已经不需要了，但我知道，你们肯定在向上苍祈求人间不要再发生同样的悲剧。	1
但作为一个从小生活在农村里面的我，我的确是看到了中国改革了，貌似上农村政策倾斜了不少，好多农民富裕了。	0
可如果把一张十元大票放在一个孩子面前，他的眼神是不屑一顾。	2
确实身边有很多很伪的回民，但是，这里是一个骨子里传统的回民。	0
为了迎合人们的习惯，圣诞节过后的超市，摆在最显眼地方的都是床上和浴室用品。	5
嘉宾是著名歌手谷村新司，他说自己第一次到中国是１９８１年，而今能亲眼看到北京奥运的开幕式，是当时连想都不敢想的事情。	3
晚年的老姥孤苦伶仃，没有生活来源，跟随着姑姑一家，照顾姑姑残疾的大女儿。	2
看着一张张稚嫩的面孔，一具具还没发育完全的遗体，一对对悲痛欲绝的父母，一双双已血肉模糊还在废墟中寻找亲人的双手，苍天都会变色，江海足以沸腾，在这一切面前，钢铁的闸坝也无法阻挡亿万国人的泪水？	1
有多少次，这样的日子，我郁闷心烦，就拿你发脾气，可你总是像溺爱孩子一样包容着我的一切。	2
有了这种意识和心态，在感情上就疏远了群众，利益上就忘却了群众，责任上就淡化了群众，为群众服务就成了一句空话。	4
心脏在我瘦小的胸膛中，被我按捺着不能跳出来。	2
在这个大海中冲浪，难免会伤到自己，因为“礁石”总在不经意间出现。	2
这个美丽的城市，虽然是我梦想的天堂，但这个天堂里，却没有我落脚的地方。	1
爱里，如果没有了语言的平等，那该如何继续？	2
每年春节之后，艺考就火爆登场，无数怀抱艺术梦、明星梦的少男少女悉数登场，明知名额有限，仍然勇往直前。	2
我让她先离开，然后悄悄地跟在她后面。	5
我经常对着镜子反复练习，练习偶然相遇之后，我要如何呼吸。	5
因为她会在发工资的前十天开始计划，这个店里的这件衣服，那个店里的那双鞋子……而且，会在发工资的当天，第一时间将它们统统拿回家。	2
３月１６日是我女儿去世的两周年忌日，怎能不使我倍加伤感呢？	1
走了的，也许永远不会回来。	1
可是，这样子的发呆，这样子的愁绪，我也知道不是很好。	2
同一个给陈老师的通话，促成了我再出一本散文集的决定，用两个月的时间将原先汇编的作品增添、删改，完成散文集《守一不惑》的创作。	0
原因很简单，做为公众人物，理应承受误解，理应理解新闻媒体在目前激烈竞争中的苦衷。	2
心，好像也麻木了。	1
我想我是想得到太多了，所以才忘记了有些更重要的东西。	1
可是，变故总是在你没有任何预料的时候到来。	2
　　一个女人，在偶然的时候，认识了一个法官。	5
如果追求是苦，你会不会选择痴迷不悟？	2
年龄差不多的，她自己年龄也不小了，刚工作得适应两年，两三年后女孩年龄又更大了，我总感觉女孩生孩子晚不好，但愿这是我杞人忧天。	2
因为每个人都会感觉到孤独，只要不总被笼罩在孤独的阴影里，轻松的对待孤独，就很容易打败它。	0
指尖有些凉，才记起，今天是立冬，冬天正式开始了。	5
现在，我们姑且不再谈女编辑的死值与不值，但她的死是足可以让负他的人和他的新爱背负一个无形的沉重的包袱。	2
生活很可怕，但也是美好的，如果我们不能权衡好生活中的幸福和痛苦，那么痛苦只会占据你所有的生活，让你只看得到痛苦。	2
记得孩提时刻，唯一的烦恼就是父母啥时候上班，然后叫上一大堆小伙伴到处撒疯。	0
当你能够用释然的心态去回忆你们曾经的点点，你就可以体会到放手后的美丽。	0
这就是我们，一群在魔鬼欺辱下的人们。	1
在那段日子里，每天都几乎是心若止水。	1
我看到角落里，有一群所谓可耻的孤独者，在自顾自地用面孔与灵魂对话。	1
因为真正的纯洁的友情真的很难见了。	1
也许你是不属于我一个人的，星星总要归于蓝天，归于星群。	1
我一直觉得自己不够宽容，闺蜜们也严重的鄙视我说：如果谁得罪你，而这件事又恰恰不是你的错的话，你一定会“得理不饶人”，抓住不放！	2
生活依旧是柴米油盐，琐碎。	2
如果他是武士，自当汲取了武士的道德滋养，可以算他是成长于那片精神的土壤，但他毕竟是一个孩子，又与武士没有任何家缘联带，难道在日本人看来，类似于这样的作为并不意味着自残暴虐么？	1
知道，那又是欢喜的事情，一个人的欢喜，开颜在心底深处。	0
这就是我最近的活力所在了。	0
手机关机，ＱＱ不回，发出的所有讯息如同丢进了黑洞一般。	2
早上的公交车，载满急着上班的人们。	2
冻得通红的双手，映着快乐的面容，雪球在空中飞来飞去，钻进脖子里的雪，瞬间化成冰水，彻骨的寒进心里。	1
逐渐感觉自己慢慢长大了，有种无形的压力正在向自己慢慢逼近。	2
一万本，顶多是做死了这部书。	2
防君子不防小人的古训应该听说过吧？	4
为什么事事不如心，生活要那么难吗？	1
年少时的快乐，很多，很容易满足，有了家庭负担的快乐，很少很少，甚至连快乐的感觉都没以前强烈。	2
不仅每天要听婆婆的经济方面的训话，还要和婆婆一起看新闻，读报纸。	2
”女人天性善良又心软，为了家庭的和谐，白白嫩嫩的手最后在家务中被磨练的像干枯的黄瓜，又像枯萎的老树皮。	2
最后放出话来，如果儿媳能够答应离婚，他们愿意拿出一万元的补贴，如果将来儿子讨了媳妇，有了后，将对她感恩带德……	5
但这幸福也好，不幸也罢，和你没有半点关系。	4
窗外，冬日的小雨在飘，淅淅沥沥，彻骨的寒气从脚下升腾，翻开日历，才知道，已经过了二十四节气中的大雪。	2
远不如“誉满天下，谤亦随之”来得正常。	2
但，有时甚至不想去实现，生怕丢了梦想，生怕从此心中变得空洞。	2
”现在，体重减下来了，老公觉得没啥差别。	5
我说：“《青蛙王子》”。	5
细想生活中有几个人能像许三多那样不分青红皂白，把每一个日子都过的那么充实和一丝不苟呢？	1
事实上，也的确没有多少时间让我去胡思乱想。	2
她们均将获得４５万港元的最高奖学金。	0
现在我们已经结婚，也许真的是缘分，让我找到了这份陪伴我一生的幸福。	0
”而我现在呢？	1
我的钱干净，不用洗。	0
日本产业对外的发达永远使他们的自国语言对外不发达相形见拙。	1
与我的性格应该是完全相反！	2
海风，总是那么凛冽地吹。	2
每天坐公交车，都要路过原来的单位，那个留给我２００７年冬天温暖而又伤感回忆的地方。	1
据报导：前不久，中央电视台“对话”节目邀请中美两国即将进入大学的高中生参与。	5
因此，出版社看重的也绝对不是“郭大抄”领导、管理的能力，而是其手中的资源和众多倍受其“毒害”的读者群。	2
来的猫并不多，这种食肉类动物忍几天不进食不会有什么问题，但去年下雪一只幼猫挂在月季花刺上冻死让我格外痛心，事后有人在旁边倒下两堆喜悦牌猫粮好象是祭奠。	1
下图是老人汽车上贴的“落叶”标志。	5
法名叫什么，我不知道，但喜出望外。	0
谭雪把一个奢华的赛点让给了对手，４４平，最后一剑，比电光石火慢多了。	1
说来也怪，创可贴可能有止痛剂，贴上立马就不怎么疼了，以至到睡觉前我“好了伤疤忘了疼”　。	0
望着天花板，看着脚跟，有点无法支撑起，呆呆地望着头顶，但脖子却感到好累，不敢轻易低头，只因为害怕眼泪掉下来，真怀疑自己，忘记了存在，如果说，一个女人最难控制的，应该就是那滴所谓的眼泪。	2
一阵的悲哀，对现在，对过去！	1
”回去的路上，她流下了泪。	1
还有黄色皮肤的朋友们，他们时时欢笑，享受着异国风情。	0
俺被定为第一讲。	5
灰色的头像，灰色的记忆。	2
当前，知识化、信息化浪潮如疾风骤雨般地改变着人类的生活、生存方式。	0
现在有些后悔那年的聚会我没有去参加，当时只是觉得来日方长，却想不到这旦夕祸福来得这么快。	1
三页纸，用的是打印稿，密密的三页。	5
再一块重得不能再重的是女排那一块。	2
一直以来，讨厌心情如飘忽不定的天气让人难以捉摸。	2
你知道吗，这个世界上有两种人，一种人看着半瓶牛奶会说，“哇，还剩半杯，我还有半杯美味的牛奶可以享用，我很开心！	0
只是，要解决全球暖化的问题，从自己做起，就需要牺牲舒适享受的生活，比如大热天里面不应该从早到晚开空调，还有私家车，我问自己，我舍得用少一些吗？	1
想：或许这样也不错，我们是谁？	0
当然，也会有人离开，也会有事改变。	5
他做到了Ｌ旁边，她的对面。	5
我静静的闭着眼睛，任凭阵阵寒流亲吻冰凉的身躯。	0
为什么大人们都不理解我的心情呢？	1
静数自己走过的轨迹，经历的风景线，却不知道，自己伤过多少人的心，多少人又刺痛过我的情。	1
祖父辈、父辈中无数的实例印证。	0
王妹听到这句话，不知道该笑还是哭。	2
后来我就毕业了，毕业之前我在自己的床上刻了一句话：早上如果实在不想起床，那就躺下继续睡吧。	2
中午饭我跟爸妈先吃了。	5
在忧愁和烦恼的时候，你会想起他，你很希望他能在你的身边，给你安慰，给你理解，而你却从没有向他倾诉，你怕属于自己的那份忧伤会妨碍他平静的生活。	2
谁会在乎谁？	2
谁也无法再回到过往。	1
我赶紧低头。	2
但礼物也不能缺哦，女人是要哄的嘛，就２００以内，随你选吧。	0
活出自信活出自我！	0
而康师傅方面昨日承认，其杭州生产基地所生产的矿物质水确实是城市自来水净化而成的。	5
周日，连续的阴天忽然放晴，女儿邀我到外面晒太阳。	0
但在这个日新月异的时代，有的字号很年轻也荣升老字号了。	0
前几天换了发型，到今天同事还夸我好看呢，问了老公，他竟然回答不知道。	4
但也许我也只是一只小小的井底之蛙，哪怕有一颗比天高的心。	1
结果在我这儿没花了，还怀疑是假钞，他俩的心理反应要多复杂啊？	2
